Nome: SANTO ANTONIO DO LESTE
Codigo Estacao: A931
Latitude: -14.92777777
Longitude: -53.8836111
Altitude: 664.21
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;34.7;27.795833;22.4;33.875;20;8.8;2.9375;
2018-09-02;0;31.7;23.804167;17.2;50.333333;32;18.9;5.254167;
2018-09-03;0;23.9;16.0375;10.7;67.291667;27;13;6.458333;
2018-09-04;0;29.1;18.329167;10.2;53.5;21;10.8;5.5125;
2018-09-05;0;32.1;20.85;10.8;46.541667;13;9.7;3.370833;
2018-09-06;0;34.6;23.216667;11.8;32.375;14;9.7;2.654167;
2018-09-07;0;35.9;25.958333;16.4;26.375;14;9.7;2.7625;
2018-09-08;0;35.6;26.558333;16.9;33.333333;19;13.2;3.204167;
2018-09-09;0;35.6;27.191667;17.2;34.5;12;13;3.541667;
2018-09-10;0;35.8;28.108333;18;20.416667;11;11;2.525;
2018-09-11;0;36;27.954167;16.9;28.708333;17;7.7;2.3375;
2018-09-12;0;36.1;28.55;19.7;26.625;14;9;2.016667;
2018-09-13;0;35.3;28.333333;21.3;33.5;20;10.1;3.1375;
2018-09-14;0;33.8;25.5625;20.4;62.333333;31;15.8;3.695833;
2018-09-15;21.2;32.4;24.654167;19.7;73.916667;32;7.5;1.795833;
2018-09-16;0;32.1;25.0625;20.9;69.041667;40;12.4;1.766667;
2018-09-17;.6;27.5;22.304167;19.4;82.041667;62;8.5;2.583333;
2018-09-18;0;33.4;24.120833;19.6;71.75;33;14.4;2.341667;
2018-09-19;0;31.8;22.979167;19.5;80.208333;41;12;3.041667;
2018-09-20;.2;27.4;22.4375;19.2;81.208333;59;9.1;2.229167;
2018-09-21;0;33.7;25.241667;18.8;67.041667;33;7.5;1.441667;
2018-09-22;0;34.4;27.133333;20.8;57.125;28;7.5;1.883333;
2018-09-23;.2;34.2;27.170833;22.1;58.833333;31;14.8;1.629167;
2018-09-24;0;35.5;26.466667;20.6;62;28;10.2;2.4125;
2018-09-25;0;31.6;25.004167;20;69.083333;36;10.5;2.9125;
2018-09-26;0;34.8;26.95;20.5;58.625;28;11.3;1.266667;
2018-09-27;0;35.6;28.004167;21.1;55.125;22;9.1;2.2125;
2018-09-28;0;32.8;25.879167;21.2;66.25;40;17.5;3.204167;
2018-09-29;0;32.6;23.925;19.8;76.666667;41;14.5;2.341667;
2018-09-30;0;30.9;23.820833;19.9;80.625;49;15.7;2.266667;
2018-10-01;null;28.9;22.879167;19.9;82.875;55;9.8;3.104167;
2018-10-02;null;32.1;25.354167;20.2;68.875;41;7.8;2.466667;
2018-10-03;null;34.6;26.991667;20.5;62.541667;31;8.6;2.091667;
2018-10-04;null;31.3;22.7875;19.5;82.958333;48;14.7;3.316667;
2018-10-05;null;31.5;22.470833;20.2;87.208333;55;13.5;3.675;
2018-10-06;null;32.6;24.3125;19.9;77.75;43;10.1;2.55;
2018-10-07;null;30.2;24.091667;20.9;78.291667;52;12;2.333333;
2018-10-08;null;28.3;23.241667;21;84.708333;61;8.8;2.370833;
2018-10-09;null;31.6;25.1625;21.2;70.75;38;8.7;2.7125;
2018-10-10;null;32.8;25.85;20.1;64.458333;34;11.3;2.670833;
2018-10-11;null;34.7;27.05;20.7;63.625;29;6.8;1.433333;
2018-10-12;null;33.8;26.183333;20.8;70.708333;38;14.3;3.179167;
2018-10-13;null;30.6;25.120833;21.8;77.75;55;13.5;2.108333;
2018-10-14;null;33.6;26.245833;20.2;69.958333;34;6.3;1.516667;
2018-10-15;null;31.9;24.504167;21.1;77.5;49;14.1;2.341667;
2018-10-16;null;33.1;24.879167;20.6;78.041667;39;14;2.254167;
2018-10-17;null;31.6;24.854167;21.3;78.833333;45;10.8;2.641667;
2018-10-18;null;33.5;26.908333;21.1;67.916667;41;8.3;1.954167;
2018-10-19;null;29.2;25.004167;21.4;77.708333;62;11.5;2.733333;
2018-10-20;null;33.8;23.8625;19.7;80.458333;39;10.4;2.116667;
2018-10-21;null;27;22.970833;20.8;86.375;61;11.4;2.05;
2018-10-22;null;30.2;23.679167;21.5;84.166667;58;15.4;2.391667;
2018-10-23;null;31.7;23.954167;20;82.125;47;15.1;2.045833;
2018-10-24;null;31.2;23.795833;20.6;84.291667;52;12.1;1.620833;
2018-10-25;null;33;22.945833;19.6;83.833333;46;10.3;2.295833;
2018-10-26;null;34;25.45;19.2;72;40;8.9;1.958333;
2018-10-27;null;32.2;25.425;21.1;73.083333;44;16.5;2.795833;
2018-10-28;null;32.3;23.916667;20.3;80.083333;42;12.7;2.658333;
2018-10-29;null;31.4;25.445833;21.5;73.916667;47;7.6;1.595833;
2018-10-30;null;34.4;25.245833;21;76.458333;40;11.6;1.983333;
2018-10-31;null;31.5;24.9375;20.9;73.791667;39;12.3;2.725;
2018-11-01;null;30.8;23.933333;19.7;84.875;51;9.4;1.429167;
2018-11-02;0;28.9;23.608333;20.7;83.458333;59;10.2;2.1375;
2018-11-03;0;31.2;24.916667;20.7;76.25;46;10.8;3.183333;
2018-11-04;.4;26.4;22.154167;20.1;90.291667;69;7.1;2.158333;
2018-11-05;0;29.4;23.941667;20.6;83;53;10.4;1.508333;
2018-11-06;0;31.5;23.895833;21.5;84;48;9.8;1.920833;
2018-11-07;.2;27.6;23.25;21.3;88.541667;66;9;2.379167;
2018-11-08;25.8;27.9;22.8875;20.5;87.5;64;11.5;2.725;
2018-11-09;28;28;22.945833;21.3;90.083333;69;8.2;3.0625;
2018-11-10;2.6;30.1;23.358333;20.5;85.25;59;13.5;4.120833;
2018-11-11;3.2;31;24.620833;20;78.583333;42;12.1;2.825;
2018-11-12;18.6;33.2;26.7625;22.7;71.958333;44;7.9;1.654167;
2018-11-13;0;31.6;25.058333;22.8;80.708333;55;10.4;2.704167;
2018-11-14;15.4;31;24.325;20.8;83;51;12.1;2.191667;
2018-11-15;3.8;31;24.129167;20;81.25;51;8.8;1.7375;
2018-11-16;1.2;31;24.320833;20.6;83.75;51;10;2.0625;
2018-11-17;15.6;30.1;24.3;21.1;81.291667;53;10.5;3.283333;
2018-11-18;0;30.3;23.791667;21.6;85.291667;56;11.2;2.175;
2018-11-19;4.6;27.9;23.095833;21.1;87.125;64;10;1.995833;
2018-11-20;3.4;29.4;23.354167;21.4;89.083333;61;8.3;1.704167;
2018-11-21;1;27;23.979167;22;84.125;63;6.6;1.233333;
2018-11-22;.4;27.5;23.720833;20.8;83.041667;67;10.4;2.183333;
2018-11-23;.6;27.9;23.45;20.8;85.208333;63;9.7;2.808333;
2018-11-24;4.2;29.6;24.0625;20.3;80.416667;54;9.5;2.629167;
2018-11-25;11.4;25.2;22.0625;20.8;93.375;79;9.5;2.716667;
2018-11-26;44;29;23.829167;20.3;87.041667;63;10.2;1.879167;
2018-11-27;41.6;28.5;23.729167;21.2;85.916667;66;10.1;3.1375;
2018-11-28;6.2;29.4;24.058333;20.9;83.75;62;12.4;3.533333;
2018-11-29;0;30.2;24.483333;21.5;79.25;49;9.1;2.895833;
2018-11-30;0;26.7;23.170833;20.7;85.833333;71;13.3;2.754167;
2018-12-01;1;24.1;21.791667;20.8;92.916667;85;11;3.229167;
2018-12-02;.6;27.9;22.825;21.1;90.083333;68;7.9;2.7;
2018-12-03;.8;28.7;23.725;20.7;84.833333;63;7.9;2.775;
2018-12-04;.6;28.1;23.558333;21.1;79.333333;57;12.2;3.341667;
2018-12-05;.6;29.9;24.579167;21.9;78;53;6.4;1.558333;
2018-12-06;.2;31.1;24.2625;20.6;79.125;52;17.4;1.1875;
2018-12-07;.6;29.7;23.425;20.3;86.625;61;13.4;1.408333;
2018-12-08;.8;29.6;23.583333;20;85.333333;61;12.3;1.4125;
2018-12-09;1.4;29.8;24.370833;20.1;84.083333;57;10.1;2.4125;
2018-12-10;.6;27.3;22.633333;19.9;88.083333;67;9.7;3.179167;
2018-12-11;.8;30.2;24.195833;19.7;78.791667;50;8.5;2.8125;
2018-12-12;3.2;30.7;22.929167;20;82.25;54;11;2.533333;
2018-12-13;9.6;30.5;23.233333;17.8;76.625;43;7.7;2.229167;
2018-12-14;4;31.5;25.129167;20.2;69.791667;42;10.1;2.625;
2018-12-15;.4;30.1;23.683333;20.6;79.375;53;8.8;1.65;
2018-12-16;0;32.1;24.645833;18.9;72.916667;44;15.9;2.7375;
2018-12-17;0;33.1;25.916667;19.5;64.875;33;8.1;1.875;
2018-12-18;0;33.1;26.529167;20.9;61.75;30;16.2;2.241667;
2018-12-19;0;33.5;26.141667;20.2;65.791667;32;9.6;2.0125;
2018-12-20;0;34.8;26.504167;21.5;62.5;31;8.1;1.4375;
2018-12-21;0;34.1;26.716667;20.9;63.833333;35;9;1.7375;
2018-12-22;0;33.9;25.191667;20;69.666667;35;8.7;2.191667;
2018-12-23;0;32;24.466667;19.4;74.375;43;23.5;2.379167;
2018-12-24;21.2;30.8;24.35;18.7;76.625;44;11.7;2.370833;
2018-12-25;13.2;31.5;25.695833;20;69.916667;42;8;2.170833;
2018-12-26;.2;29.4;23.933333;21.4;83.208333;57;10.6;1.670833;
2018-12-27;0;28.3;23.554167;21.2;84.916667;63;9.6;1.954167;
2018-12-28;0;27.3;23.241667;21.1;85.125;61;15.5;2.795833;
2018-12-29;.2;26.1;22.625;20.6;87.333333;72;11.4;3.2375;
2018-12-30;0;29.8;23.333333;21.1;85.958333;57;9.7;2.916667;
2018-12-31;0;24.4;21.579167;21.2;93;82;11.4;1.875;
2019-01-01;0;29.6;23.008333;18.8;85.75;57;11.9;2.4125;
2019-01-02;.4;30.9;24.495833;20.2;78.041667;53;11.2;1.7625;
2019-01-03;.2;33;26.029167;20.1;70.833333;37;8.5;1.754167;
2019-01-04;.6;31.6;25.829167;21.3;72.375;46;11.1;2.354167;
2019-01-05;.4;28.1;22.6375;20.4;88.041667;66;14.6;2.633333;
2019-01-06;.4;29;23.504167;20.3;83.375;57;8.8;2.933333;
2019-01-07;.6;29.7;24.4375;21.1;77.25;49;13.6;3.9625;
2019-01-08;.2;31.9;24.875;19.2;71.5;41;9.1;2.479167;
2019-01-09;3.2;30.2;24.833333;21.4;73.5;54;11.5;1.816667;
2019-01-10;5.8;31.6;25.195833;19.9;71.25;37;11.6;2.354167;
2019-01-11;3.4;29.9;22.5625;19.4;83.125;49;18.8;1.820833;
2019-01-12;.8;31.5;24.075;20.1;77.083333;42;16.1;1.716667;
2019-01-13;.4;31.7;24.545833;19.5;73.666667;39;7.3;1.775;
2019-01-14;.2;30;23.483333;20.4;78.958333;51;15.5;1.929167;
2019-01-15;0;31.7;24.870833;19.2;73;43;8.6;1.729167;
2019-01-16;0;33.1;26.545833;21;65.625;36;8.5;2.354167;
2019-01-17;0;33.6;25.0625;20.5;75.416667;38;10.2;1.945833;
2019-01-18;13.4;32;25.045833;18.4;68.333333;35;10.5;3.345833;
2019-01-19;0;32.1;24.483333;20.7;75.083333;42;10;3.75;
2019-01-20;0;29.4;24.0625;19.8;74.083333;47;7.5;2.329167;
2019-01-21;0;33.5;26.391667;20.4;67.375;39;10.9;1.916667;
2019-01-22;0;34.6;27.1;20.7;64;33;8.6;1.745833;
2019-01-23;.2;33;26.604167;20.6;68;42;13.9;2.641667;
2019-01-24;1.6;32.2;25.645833;19;71.416667;39;18;2.208333;
2019-01-25;6.4;31;24.854167;18.7;73.791667;34;12.1;2.620833;
2019-01-26;11;29.5;24.3625;20;80.958333;60;7.9;2.129167;
2019-01-27;28;25.2;21.65;19.1;88.708333;72;11;3.704167;
2019-01-28;50;22.4;21.091667;19.8;93.041667;88;9.9;3.845833;
2019-01-29;37.4;30.2;23.579167;19.1;79.541667;46;9.4;1.2375;
2019-01-30;0;32.7;24.416667;19.4;75.708333;39;8.6;2.641667;
2019-01-31;1.6;33.9;25.554167;19.7;69.625;33;9;2.75;
2019-02-01;.2;34.4;27.029167;20.7;61.708333;26;12.2;2.6125;
2019-02-02;0;33.2;25.2375;20.7;67.958333;35;8.6;1.591667;
2019-02-03;0;33.4;24.725;18.7;68.625;27;2.1;0;
2019-02-04;0;32.2;25.070833;19.1;69.583333;37;11.7;0;
2019-02-05;0;34.5;24.7875;20.6;75.333333;37;18.2;1.9625;
2019-02-06;6;31.8;24.733333;20.2;76.75;41;8.9;2.320833;
2019-02-07;1;32.1;25.058333;21.1;78.833333;47;13.1;1.95;
2019-02-08;1.4;30.9;24.4625;21.8;84.666667;57;13.4;2.795833;
2019-02-09;7.4;30.4;25.133333;22.6;83.333333;53;8.7;1.695833;
2019-02-10;4.2;30.7;24.945833;20.6;77.916667;49;10.8;2.5875;
2019-02-11;.8;31.6;25.383333;22.1;79.375;53;10.7;2.441667;
2019-02-12;.4;30.7;24.658333;22.6;82.833333;49;10;1.416667;
2019-02-13;1;31.6;24.008333;21;84.75;51;10.5;2.7125;
2019-02-14;1.6;28.7;23.283333;21.3;85.25;61;12.8;1.941667;
2019-02-15;29.2;30;24.658333;19.9;78.291667;53;11.3;2.629167;
2019-02-16;10.2;28.5;23.129167;21.7;88.083333;65;9.8;3.191667;
2019-02-17;19.2;28.7;23.3875;20.1;85.125;52;8;2.129167;
2019-02-18;.2;30.4;23.941667;20.8;81.958333;53;9;3.016667;
2019-02-19;0;27;22.370833;21.5;91.583333;72;11.3;3.016667;
2019-02-20;10.8;27.3;22.354167;19.8;87.416667;60;10.5;1.7375;
2019-02-21;2.8;29.2;23.05;20.7;87.583333;59;11.2;1.783333;
2019-02-22;16.6;32.7;25.241667;20.6;76.25;44;7.1;2.0625;
2019-02-23;17.4;31.2;24.220833;19.7;78.041667;52;11.8;1.658333;
2019-02-24;1.4;32.5;26.283333;21.8;72.416667;40;8.2;2.533333;
2019-02-25;0;32.2;24.9625;21.4;78.875;48;9.2;1.75;
2019-02-26;15.4;28.8;23.8375;20.3;80.958333;56;12.5;3.2;
2019-02-27;6.6;27.9;24.041667;20.6;79.958333;59;12.2;1.875;
2019-02-28;5.8;27.9;22.770833;20.8;88.5;63;9.9;2.183333;
2019-03-01;13.8;29.5;24.141667;20.9;82.708333;55;10.6;3.158333;
2019-03-02;2.8;27.9;23.15;21.8;87.458333;65;8.9;1.95;
2019-03-03;1.2;28.9;23.079167;20.4;88.166667;63;8.6;1.583333;
2019-03-04;.4;28.4;23.608333;20.9;87;65;11.6;2.6375;
2019-03-05;.4;29;23.6125;21.2;86.958333;63;11.1;2.875;
2019-03-06;.2;29.3;24.170833;20.5;82.958333;59;10;2.5625;
2019-03-07;.2;29;23.041667;21.2;88.458333;61;11.1;2.141667;
2019-03-08;.4;31.2;24.8;20.9;77.916667;50;7.8;2.25;
2019-03-09;0;30.8;23.766667;20.2;83.458333;52;15.5;1.858333;
2019-03-10;.4;30;23.616667;20.4;83.958333;51;6.6;2.079167;
2019-03-11;0;30;23.833333;20.5;83.375;60;9.8;2.316667;
2019-03-12;.4;30.7;24.395833;20.9;82.333333;54;9.5;1.829167;
2019-03-13;.4;30.9;24.316667;20.8;82.666667;53;11.9;1.429167;
2019-03-14;.6;30.3;23.933333;21.6;84;58;10.7;1.583333;
2019-03-15;2.8;31.4;24.116667;19.3;79.791667;48;9.3;1.895833;
2019-03-16;8;32.1;24.808333;20.8;79.125;52;11.6;2.545833;
2019-03-17;5.8;31.7;24.370833;20.4;83.625;51;9.9;1.916667;
2019-03-18;7.2;30.7;25.1625;21;81.291667;57;7.4;1.108333;
2019-03-19;5;32.8;25.841667;21.3;78;49;7.6;1.679167;
2019-03-20;2.4;27.4;23.979167;22;86.708333;71;10.4;2.308333;
2019-03-21;1;28.9;23.579167;20.3;84;57;9.6;3.15;
2019-03-22;.8;29.4;23.454167;19.6;83.625;57;8.4;2.391667;
2019-03-23;.4;29.9;24.3;20.1;80.208333;55;7.3;2.883333;
2019-03-24;0;31.5;25.345833;20.3;74.666667;41;7;2.020833;
2019-03-25;0;30.5;24.945833;20.5;80.333333;57;8.9;2.1875;
2019-03-26;.2;29.1;24.866667;21.7;82.166667;64;8.1;2.1875;
2019-03-27;.6;26.6;22.625;21.7;93.041667;79;9.7;3.2625;
2019-03-28;2.4;27.1;23.079167;21.2;91.791667;75;8.3;2.808333;
2019-03-29;.6;30.2;23.7;21.6;89.833333;64;8.7;1.666667;
2019-03-30;.2;28.9;23.908333;21.3;88.833333;67;8;1.45;
2019-03-31;.6;29.4;24.225;20.9;84.875;65;9;1.05;
2019-04-01;null;30.3;25.0625;21.3;79.041667;57;10.4;.975;
2019-04-02;null;32;25.275;21.2;78.416667;47;8.6;1.091667;
2019-04-03;null;31.8;24.779167;21.9;82.25;54;12.8;2.070833;
2019-04-04;null;31.3;24.383333;19.8;81;50;8.1;1.433333;
2019-04-05;null;29.7;23.870833;20.9;85.333333;64;9.2;1.4;
2019-04-06;null;29.2;23.470833;21.6;89.875;65;10.9;1.170833;
2019-04-07;null;28.7;22.333333;19.4;89.25;64;8.5;3.058333;
2019-04-08;null;27;22.683333;20.2;89.166667;70;7.2;1.816667;
2019-04-09;null;29.1;23.366667;20.9;87.875;66;6.1;1.85;
2019-04-10;null;29.1;23.754167;21.1;86.416667;62;8.9;1.379167;
2019-04-11;null;28.5;22.820833;20.3;87.125;64;10.6;1.858333;
2019-04-12;null;29.2;23.183333;20.8;88.25;61;9.5;1.175;
2019-04-13;null;30.5;23.616667;20.3;85.916667;59;10.3;1.183333;
2019-04-14;null;31.3;24.233333;20.8;84.25;52;6.5;1.220833;
2019-04-15;null;30.2;24.725;21.4;83.708333;61;6.9;.833333;
2019-04-16;null;29.3;23.829167;20.8;85.166667;60;10.3;1.058333;
2019-04-17;null;29.8;23.7125;20.7;85.833333;57;5.2;.4875;
2019-04-18;null;29.7;24.454167;19.8;82.25;56;6.2;.604167;
2019-04-19;null;32.6;25.570833;20.4;76.791667;45;5.8;1.1875;
2019-04-20;null;31.2;24.295833;21;83.958333;54;7.7;1.179167;
2019-04-21;null;31.3;25.1875;20.3;80.125;53;7.2;1.308333;
2019-04-22;null;31.9;24.379167;20.3;83.291667;53;8.7;1.495833;
2019-04-23;null;30.3;23.45;19.3;83.583333;54;7.1;1.0125;
2019-04-24;null;31.1;24.383333;19.6;80.708333;51;12.4;2.058333;
2019-04-25;null;30.2;24.05;19.1;81.458333;52;11.3;1.25;
2019-04-26;null;30.5;25.058333;18.6;75.25;47;8;1.541667;
2019-04-27;null;31.6;25.304167;18.5;69.375;47;6.8;1.9125;
2019-04-28;null;32.2;25.9;21.2;67;42;5.9;1.441667;
2019-04-29;null;32.5;24.508333;21.2;81.375;47;9.9;1.495833;
2019-04-30;null;31.1;25.016667;21.4;79.916667;52;5.5;.595833;
2019-05-01;null;30.3;23.7375;21.2;85.25;57;10;1.108333;
2019-05-02;null;30.4;24.070833;20;83.458333;59;8;1.325;
2019-05-03;null;26.3;23.270833;20.6;89.583333;80;11.7;1.504167;
2019-05-04;null;28.1;23.045833;19.9;86.541667;65;10.5;2.245833;
2019-05-05;null;31.7;24.579167;19.5;81.375;53;7.1;1.3875;
2019-05-06;null;30.6;23.954167;20.5;83.625;58;7.8;1.25;
2019-05-07;null;31.4;23.979167;19.6;81.833333;52;5.2;1.566667;
2019-05-08;null;29.9;23.791667;20.3;81.208333;60;10.5;1.579167;
2019-05-09;null;31.9;24.720833;18.9;76.208333;48;7.8;1.083333;
2019-05-10;null;31.5;25.329167;19.7;72.416667;42;7.4;1.429167;
2019-05-11;null;31.7;25.9;21.1;67.458333;41;5.7;1.704167;
2019-05-12;null;30.1;24.3375;18.6;76.75;50;6;1.241667;
2019-05-13;null;29.2;23.4375;19.9;85.666667;64;10.2;4.291667;
2019-05-14;null;28.6;23.141667;20.7;84.875;62;9.9;5.195833;
2019-05-15;null;27.3;20.275;15.6;81.166667;58;11.1;5.0375;
2019-05-16;null;28.6;20.083333;14.1;79.125;53;8.8;2.645833;
2019-05-17;null;28.6;21.016667;15.8;80.833333;53;7.4;1.683333;
2019-05-18;null;29.3;22.120833;16.7;76.083333;42;7.8;1.5125;
2019-05-19;null;28.8;22.570833;16.5;70.458333;32;6.2;1.541667;
2019-05-20;null;30;22.483333;14.6;62.125;34;6.3;1.9375;
2019-05-21;null;31.6;23.604167;16.6;64.166667;40;5;1.354167;
2019-05-22;null;31.4;24.1625;18.6;69.25;39;5.8;1.383333;
2019-05-23;null;32.4;24.704167;18.6;62.541667;33;6.2;1.058333;
2019-05-24;null;27.1;21.383333;17.5;81.375;55;12.4;4.808333;
2019-05-25;null;27.6;20.05;15;80.916667;53;7.9;2.991667;
2019-05-26;null;31.6;22.845833;15.5;74.625;42;7.2;1.429167;
2019-05-27;null;32.5;24.504167;17.9;69.875;40;5.1;1.475;
2019-05-28;null;32.3;25.466667;19.7;66.125;41;7.2;1.6;
2019-05-29;null;30.6;25.041667;20.6;66.75;45;9.6;2.270833;
2019-05-30;null;32.6;25.529167;19.9;57.958333;31;10;2.175;
2019-05-31;null;31.6;25.3625;19;57.166667;35;8.7;1.883333;
2019-06-01;null;33.1;24.883333;16.5;55.833333;29;5.8;1.175;
2019-06-02;0;32.3;24.891667;18.8;57.833333;29;7.5;1.345833;
2019-06-03;0;27.2;22.2875;17.2;78.208333;55;10.3;3.991667;
2019-06-04;0;28.1;22.070833;18.3;79.5;51;9.5;4.2875;
2019-06-05;0;28.7;20.666667;13.7;72.833333;35;8.2;2.816667;
2019-06-06;0;29.4;21.270833;13.6;63.583333;40;8.1;2.345833;
2019-06-07;0;28.9;22.529167;17;67.708333;39;10;1.925;
2019-06-08;0;29.5;22.041667;14.6;66.166667;35;8.5;1.65;
2019-06-09;0;29.6;22.458333;14.4;59.666667;32;6.8;1.204167;
2019-06-10;0;30.6;23.245833;17;60.916667;37;10.3;1.783333;
2019-06-11;0;30.2;23.479167;18.5;64.125;39;8.1;2.625;
2019-06-12;0;31;23.033333;15.7;56.125;24;9.5;2.1125;
2019-06-13;0;29.8;23.704167;18;57.041667;37;8.3;2.641667;
2019-06-14;0;30.9;23.683333;17.4;58.75;27;12.5;2.345833;
2019-06-15;0;31.5;24.045833;19.1;56.958333;32;9;2.841667;
2019-06-16;0;29.9;22.8625;15.7;60.833333;37;8.5;2.608333;
2019-06-17;0;28.9;22.429167;15.6;59.291667;32;9.2;2.104167;
2019-06-18;0;30.8;23.341667;15.9;51.25;28;9.1;2.520833;
2019-06-19;0;31.3;22.95;14.6;58.708333;33;5.2;1.475;
2019-06-20;0;30.5;22.395833;15.2;59.916667;27;7.5;2.166667;
2019-06-21;0;30;22.2375;14.7;57.125;30;12.6;3.008333;
2019-06-22;0;30.2;22.545833;15.4;50.25;29;10.6;2.508333;
2019-06-23;0;29.9;22.170833;14.3;51.833333;30;10;1.958333;
2019-06-24;0;29.6;22.966667;16.7;49.291667;29;11.2;2.8125;
2019-06-25;0;30.1;22.9125;16.2;51.041667;27;11.8;2.616667;
2019-06-26;0;31.4;24.175;16.5;47.541667;32;9.2;2.025;
2019-06-27;0;31.6;23.545833;16.4;55.083333;28;9.6;1.804167;
2019-06-28;0;31.2;24.195833;17.3;50.458333;31;11.9;2.783333;
2019-06-29;0;31.8;24.525;14.9;49.041667;28;8.5;1.545833;
2019-06-30;0;31.5;24.283333;17.7;51.791667;27;10.4;2.179167;
2019-07-01;0;31.7;23.404167;14.5;53.541667;24;5.8;.983333;
2019-07-02;0;31.6;23.795833;15.9;48;22;9.6;1.933333;
2019-07-03;0;30.6;23.833333;16.8;53.166667;29;10.1;2.4875;
2019-07-04;0;31.8;24.504167;18.5;55.208333;31;10.6;3;
2019-07-05;0;25.7;21.2375;16.9;77.291667;52;10.8;3.691667;
2019-07-06;.2;24.9;18.1;14.4;72.166667;37;11.1;5.529167;
2019-07-07;0;26.3;15.958333;7.7;48.416667;20;8.9;3.754167;
2019-07-08;0;30.5;18.3875;9.7;45.458333;22;10.4;2.225;
2019-07-09;0;31.1;21.6875;13.2;44;23;11.2;1.683333;
2019-07-10;0;29.3;21.916667;15.1;54.208333;29;9;2.329167;
2019-07-11;0;29.7;23.104167;15.9;40.166667;24;8.3;2.333333;
2019-07-12;0;31.7;22.829167;13.9;45.125;27;9.1;1.495833;
2019-07-13;0;32.7;24.1375;14.3;50.333333;24;8.9;1.1875;
2019-07-14;0;32.6;25.1625;17.3;44.25;26;7.6;1.404167;
2019-07-15;0;32.6;25.541667;17.2;38.083333;22;7;1.454167;
2019-07-16;0;32.6;24.3875;16;44.125;23;6.6;1.295833;
2019-07-17;0;31.4;22.891667;15.5;58.833333;27;11;2.3875;
2019-07-18;0;32.2;23.395833;15;51.916667;25;9.3;2.291667;
2019-07-19;0;31.1;24.320833;16.9;44;28;8.1;2.1125;
2019-07-20;0;29.5;23.354167;16.2;51.083333;29;10.6;3.158333;
2019-07-21;0;30;22.7125;15.7;46.416667;28;13.4;2.933333;
2019-07-22;0;31.5;23.825;16.8;47.375;24;9.5;1.975;
2019-07-23;0;30.7;22.754167;14.4;50.916667;27;9.9;2.354167;
2019-07-24;0;31.2;23.479167;14.5;45.625;27;9.9;1.883333;
2019-07-25;0;31.3;21.616667;14.2;61.666667;28;8.2;2.420833;
2019-07-26;0;30.6;20.204167;12.6;63.125;27;7.5;3.15;
2019-07-27;0;29.7;20.7125;13.6;61.541667;26;9.6;3.529167;
2019-07-28;0;29.2;21.129167;13.7;54.916667;26;9.9;2.425;
2019-07-29;0;31.3;23.4875;15.2;40.916667;24;9.3;1.654167;
2019-07-30;0;32.3;24.095833;14.2;42.041667;23;5.6;.958333;
2019-07-31;0;32.1;24.154167;14.7;42.375;21;9.8;1.970833;
2019-08-01;0;34;26.191667;19.4;34.625;20;13.1;2.541667;
2019-08-02;0;32.9;25.875;19.1;40.125;22;11.6;2.229167;
2019-08-03;0;24.7;17.325;11.2;63.333333;36;15.5;7.804167;
2019-08-04;0;27.8;16.991667;9;57.458333;32;11;4.916667;
2019-08-05;0;30.1;18.8;10.6;66.708333;29;18.7;3.733333;
2019-08-06;0;31.8;22.816667;15.6;59;28;11.7;1.9375;
2019-08-07;0;31.1;24.033333;17.3;53.041667;28;13.5;3.958333;
2019-08-08;0;31.4;24.341667;18.1;41.541667;21;11.4;3.395833;
2019-08-09;0;32.4;25.341667;18.2;34.416667;18;11.4;2.520833;
2019-08-10;0;33.1;25.279167;12.1;35.291667;19;9.9;1.820833;
2019-08-11;0;33.8;25.479167;13.8;38.458333;22;12.6;2.079167;
2019-08-12;0;34.1;27.416667;20.7;38.708333;20;11.9;2.5;
2019-08-13;0;33.5;27.095833;21.1;40.125;21;10.9;1.958333;
2019-08-14;0;32.4;23.720833;17.1;56.833333;24;10.6;5.0375;
2019-08-15;0;32.4;22.866667;13.2;44.041667;18;11.8;4.129167;
2019-08-16;0;33;25.404167;18.9;38.75;24;11.1;2.495833;
2019-08-17;0;33.5;26.029167;16.3;42;23;11.8;2.420833;
2019-08-18;0;34.5;26.529167;19.6;42.083333;22;10;2.316667;
2019-08-19;0;34.4;27.125;19.3;44.166667;25;8.2;1.916667;
2019-08-20;0;34.3;25.533333;20.7;60.375;27;9.4;2.975;
2019-08-21;0;33.1;25.5125;19.1;57.666667;28;12.6;3.804167;
2019-08-22;0;34.8;26.4;18.4;45.875;21;11.1;3.125;
2019-08-23;0;34.4;26.770833;17.4;36.75;18;12.4;3.191667;
2019-08-24;0;33.6;26.4375;17.1;39;22;11.9;3.379167;
